PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
76001,"Abdelnaby, Alaa",Alaa Abdelnaby,0,1990,1994,HISTADD_alaa_abdelnaby,0,,,,,Y,00
76002,"Abdul-Aziz, Zaid",Zaid Abdul-Aziz,0,1968,1977,HISTADD_zaid_abdul-aziz,0,,,,,Y,00
76003,"Abdul-Jabbar, Kareem",Kareem Abdul-Jabbar,0,1969,1988,HISTADD_kareem_abdul-jabbar,0,,,,,Y,00
51,"Abdul-Rauf, Mahmoud",Mahmoud Abdul-Rauf,0,1990,2000,mahmoud_abdul-rauf,0,,,,,Y,00
1505,"Abdul-Wahad, Tariq",Tariq Abdul-Wahad,0,1997,2003,tariq_abdul-wahad,0,,,,,Y,00
949,"Abdur-Rahim, Shareef",Shareef Abdur-Rahim,0,1996,2007,shareef_abdur-rahim,0,,,,,Y,00
76005,"Abernethy, Tom",Tom Abernethy,0,1976,1980,HISTADD_tom_abernethy,0,,,,,Y,00
76006,"Able, Forest",Forest Able,0,1956,1956,HISTADD_frosty_able,0,,,,,Y,00
76007,"Abramovic, John",John Abramovic,0,1946,1947,HISTADD_brooms_abramovic,0,,,,,Y,00
203518,"Abrines, Alex",Alex Abrines,0,2016,2018,alex_abrines,0,,,,,Y,00
1630173,"Achiuwa, Precious",Precious Achiuwa,1,2020,2020,precious_achiuwa,1610612748,Miami,Heat,MIA,heat,Y,00
101165,"Acker, Alex",Alex Acker,0,2005,2008,alex_acker,0,,,,,Y,01
76008,"Ackerman, Donald",Donald Ackerman,0,1953,1953,HISTADD_buddy_ackerman,0,,,,,Y,00
76009,"Acres, Mark",Mark Acres,0,1987,1992,HISTADD_mark_acres,0,,,,,Y,00
76010,"Acton, Charles",Charles Acton,0,1967,1967,HISTADD_bud_acton,0,,,,,Y,00
203112,"Acy, Quincy",Quincy Acy,0,2012,2018,quincy_acy,0,,,,,Y,01
76011,"Adams, Alvan",Alvan Adams,0,1975,1987,HISTADD_alvan_adams,0,,,,,Y,00
76012,"Adams, Don",Don Adams,0,1970,1976,HISTADD_don_adams,0,,,,,Y,00
200801,"Adams, Hassan",Hassan Adams,0,2006,2008,hassan_adams,0,,,,,Y,00
1629121,"Adams, Jaylen",Jaylen Adams,1,2018,2020,jaylen_adams,1610612749,Milwaukee,Bucks,MIL,bucks,Y,01
203919,"Adams, Jordan",Jordan Adams,0,2014,2015,jordan_adams,0,,,,,Y,01
149,"Adams, Michael",Michael Adams,0,1985,1995,michael_adams,0,,,,,Y,00
203500,"Adams, Steven",Steven Adams,1,2013,2020,steven_adams,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,00
912,"Addison, Rafael",Rafael Addison,0,1986,1996,rafael_addison,0,,,,,Y,00
1628389,"Adebayo, Bam",Bam Adebayo,1,2017,2020,bam_adebayo,1610612748,Miami,Heat,MIA,heat,Y,00
1629061,"Adel, Deng",Deng Adel,0,2018,2018,deng_adel,0,,,,,Y,01
76015,"Adelman, Rick",Rick Adelman,0,1968,1974,HISTADD_rick_adelman,0,,,,,Y,00
202399,"Adrien, Jeff",Jeff Adrien,0,2010,2014,jeff_adrien,0,,,,,Y,01
201167,"Afflalo, Arron",Arron Afflalo,0,2007,2017,arron_afflalo,0,,,,,Y,00
200772,"Ager, Maurice",Maurice Ager,0,2006,2010,maurice_ager,0,,,,,Y,01
76016,"Aguirre, Mark",Mark Aguirre,0,1981,1993,HISTADD_mark_aguirre,0,,,,,Y,00
201336,"Ahearn, Blake",Blake Ahearn,0,2007,2011,blake_ahearn,0,,,,,Y,01
76017,"Ainge, Danny",Danny Ainge,0,1981,1994,HISTADD_danny_ainge,0,,,,,Y,00
201582,"Ajinca, Alexis",Alexis Ajinca,0,2008,2017,alexis_ajinca,0,,,,,Y,01
76018,"Akin, Henry",Henry Akin,0,1966,1967,HISTADD_henry_akin,0,,,,,Y,00
203006,"Akognon, Josh",Josh Akognon,0,2012,2012,josh_akognon,0,,,,,Y,01
1629152,"Akoon-Purcell, DeVaughn",DeVaughn Akoon-Purcell,0,2018,2018,devaughn_akoon-purcell,0,,,,,Y,01
202374,"Alabi, Solomon",Solomon Alabi,0,2010,2011,solomon_alabi,0,,,,,Y,01
76019,"Alarie, Mark",Mark Alarie,0,1986,1990,HISTADD_mark_alarie,0,,,,,Y,00
76020,"Alcorn, Gary",Gary Alcorn,0,1959,1960,HISTADD_gary_alcorn,0,,,,,Y,00
203128,"Aldemir, Furkan",Furkan Aldemir,0,2014,2014,furkan_aldemir,0,,,,,Y,00
202332,"Aldrich, Cole",Cole Aldrich,0,2010,2017,cole_aldrich,0,,,,,Y,01
200746,"Aldridge, LaMarcus",LaMarcus Aldridge,1,2006,2020,lamarcus_aldridge,1610612759,San Antonio,Spurs,SAS,spurs,Y,00
76021,"Aleksinas, Chuck",Chuck Aleksinas,0,1984,1984,HISTADD_chuck_aleksinas,0,,,,,Y,00
1626146,"Alexander, Cliff",Cliff Alexander,0,2015,2015,cliff_alexander,0,,,,,Y,01
724,"Alexander, Cory",Cory Alexander,0,1995,2004,cory_alexander,0,,,,,Y,00
2042,"Alexander, Courtney",Courtney Alexander,0,2000,2003,courtney_alexander,0,,,,,Y,00
76022,"Alexander, Gary",Gary Alexander,0,1993,1993,HISTADD_gary_alexander,0,,,,,Y,00
201570,"Alexander, Joe",Joe Alexander,0,2008,2009,joe_alexander,0,,,,,Y,01
1629734,"Alexander, Kyle",Kyle Alexander,0,2019,2019,kyle_alexander,0,,,,,Y,01
1630234,"Alexander, Ty-Shon",Ty-Shon Alexander,1,2020,2020,ty-shon_alexander,1610612756,Phoenix,Suns,PHX,suns,Y,00
2349,"Alexander, Victor",Victor Alexander,0,1991,2001,victor_alexander,0,,,,,Y,00
1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,1,2019,2020,nickeil_alexander-walker,1610612740,New Orleans,Pelicans,NOP,pelicans,Y,01
76024,"Alford, Steve",Steve Alford,0,1987,1990,HISTADD_steve_alford,0,,,,,Y,00
1628959,"Alkins, Rawle",Rawle Alkins,0,2018,2018,rawle_alkins,0,,,,,Y,01
76028,"Allen, Bob",Bob Allen,0,1968,1968,HISTADD_bob_allen,0,,,,,Y,00
1628960,"Allen, Grayson",Grayson Allen,1,2018,2020,grayson_allen,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,01
1628386,"Allen, Jarrett",Jarrett Allen,1,2017,2020,jarrett_allen,1610612751,Brooklyn,Nets,BKN,nets,Y,00
706,"Allen, Jerome",Jerome Allen,0,1995,1996,jerome_allen,0,,,,,Y,00
1628443,"Allen, Kadeem",Kadeem Allen,0,2017,2019,kadeem_allen,0,,,,,Y,01
202730,"Allen, Lavoy",Lavoy Allen,0,2011,2016,lavoy_allen,0,,,,,Y,01
76027,"Allen, Lucius",Lucius Allen,0,1969,1978,HISTADD_lucius_allen,0,,,,,Y,00
2124,"Allen, Malik",Malik Allen,0,2001,2010,malik_allen,0,,,,,Y,00
76025,"Allen, Randy",Randy Allen,0,1988,1989,HISTADD_randy_allen,0,,,,,Y,00
951,"Allen, Ray",Ray Allen,0,1996,2013,ray_allen,0,,,,,Y,00
2754,"Allen, Tony",Tony Allen,0,2004,2017,tony_allen,0,,,,,Y,00
76029,"Allison, Odis",Odis Allison,0,1971,1971,HISTADD_odis_allison,0,,,,,Y,00
200984,"Allred, Lance",Lance Allred,0,2007,2007,lance_allred,0,,,,,Y,01
76030,"Allums, Darrell",Darrell Allums,0,1980,1980,HISTADD_darrell_allums,0,,,,,Y,00
201165,"Almond, Morris",Morris Almond,0,2007,2011,morris_almond,0,,,,,Y,01
308,"Alston, Derrick",Derrick Alston,0,1994,1996,derrick_alston,0,,,,,Y,00
1747,"Alston, Rafer",Rafer Alston,0,1999,2009,rafer_alston,0,,,,,Y,01
1824,"Aluma, Peter",Peter Aluma,0,1998,1998,peter_aluma,0,,,,,Y,00
680,"Amaechi, John",John Amaechi,0,1995,2002,john_amaechi,0,,,,,Y,00
732,"Amaya, Ashraf",Ashraf Amaya,0,1995,1996,ashraf_amaya,0,,,,,Y,00
202329,"Aminu, Al-Farouq",Al-Farouq Aminu,1,2010,2020,al-farouq_aminu,1610612753,Orlando,Magic,ORL,magic,Y,00
200811,"Amundson, Lou",Lou Amundson,0,2006,2015,lou_amundson,0,,,,,Y,01
76034,"Anderegg, Bob",Bob Anderegg,0,1959,1959,HISTADD_bob_anderegg,0,,,,,Y,00
2365,"Andersen, Chris",Chris Andersen,0,2001,2016,chris_andersen,0,,,,,Y,00
2431,"Andersen, David",David Andersen,0,2009,2010,david_andersen,0,,,,,Y,00
101187,"Anderson, Alan",Alan Anderson,0,2005,2016,alan_anderson,0,,,,,Y,01
202079,"Anderson, Antonio",Antonio Anderson,0,2009,2009,antonio_anderson,0,,,,,Y,01
76035,"Anderson, Cliff",Cliff Anderson,0,1967,1970,HISTADD_cliff_anderson,0,,,,,Y,00
76036,"Anderson, Daniel",Daniel Anderson,0,1974,1975,HISTADD_daniel_anderson,0,,,,,Y,00
1507,"Anderson, Derek",Derek Anderson,0,1997,2007,derek_anderson,0,,,,,Y,00
76037,"Anderson, Dwight",Dwight Anderson,0,1982,1982,HISTADD_dwight_anderson,0,,,,,Y,00
944,"Anderson, Eric",Eric Anderson,0,1992,1993,eric_anderson,0,,,,,Y,00
246,"Anderson, Greg",Greg Anderson,0,1987,1997,greg_anderson,0,,,,,Y,00
202341,"Anderson, James",James Anderson,0,2010,2015,james_anderson,0,,,,,Y,01
76040,"Anderson, Jerome",Jerome Anderson,0,1975,1976,HISTADD_jerome_anderson,0,,,,,Y,00
1626147,"Anderson, Justin",Justin Anderson,0,2015,2019,justin_anderson,0,,,,,Y,01
72,"Anderson, Kenny",Kenny Anderson,0,1991,2004,kenny_anderson,0,,,,,Y,00
76041,"Anderson, Kim",Kim Anderson,0,1978,1978,HISTADD_kim_anderson,0,,,,,Y,00
203937,"Anderson, Kyle",Kyle Anderson,1,2014,2020,kyle_anderson,1610612763,Memphis,Grizzlies,MEM,grizzlies,Y,01
76042,"Anderson, Michael",Michael Anderson,0,1988,1988,HISTADD_michael_anderson,0,,,,,Y,00
76043,"Anderson, Mitchell",Mitchell Anderson,0,1982,1984,HISTADD_jj_anderson,0,,,,,Y,00
98,"Anderson, Nick",Nick Anderson,0,1989,2002,nick_anderson,0,,,,,Y,00
76045,"Anderson, Richard",Richard Anderson,0,1982,1989,HISTADD_richard_anderson,0,,,,,Y,00
76046,"Anderson, Ron",Ron Anderson,0,1984,1993,HISTADD_ron_anderson,0,,,,,Y,00
201583,"Anderson, Ryan",Ryan Anderson,0,2008,2019,ryan_anderson,0,,,,,Y,00
1000,"Anderson, Shandon",Shandon Anderson,0,1996,2005,shandon_anderson,0,,,,,Y,00
335,"Anderson, Willie",Willie Anderson,0,1988,1996,willie_anderson,0,,,,,Y,00
76048,"Anderzunas, Wally",Wally Anderzunas,0,1969,1969,HISTADD_wally_anderzunas,0,,,,,Y,00
101149,"Andriuskevicius, Martynas",Martynas Andriuskevicius,0,2005,2006,martynas_andriuskevicius,0,,,,,Y,01
76049,"Anielak, Don",Don Anielak,0,1954,1954,HISTADD_don_anielak,0,,,,,Y,00
1628387,"Anigbogu, Ike",Ike Anigbogu,0,2017,2018,ike_anigbogu,0,,,,,Y,01
76050,"Ansley, Michael",Michael Ansley,0,1989,1991,HISTADD_michael_ansley,0,,,,,Y,00
1512,"Anstey, Chris",Chris Anstey,0,1997,1999,chris_anstey,0,,,,,Y,00
203507,"Antetokounmpo, Giannis",Giannis Antetokounmpo,1,2013,2020,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y,00
1628961,"Antetokounmpo, Kostas",Kostas Antetokounmpo,1,2018,2020,kostas_antetokounmpo,1610612747,Los Angeles,Lakers,LAL,lakers,Y,01
203648,"Antetokounmpo, Thanasis",Thanasis Antetokounmpo,1,2015,2020,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,Y,01
2546,"Anthony, Carmelo",Carmelo Anthony,1,2003,2020,carmelo_anthony,1610612757,Portland,Trail Blazers,POR,blazers,Y,00
1630175,"Anthony, Cole",Cole Anthony,1,2020,2020,cole_anthony,1610612753,Orlando,Magic,ORL,magic,Y,00
21,"Anthony, Greg",Greg Anthony,0,1991,2001,greg_anthony,0,,,,,Y,00
201202,"Anthony, Joel",Joel Anthony,0,2007,2016,joel_anthony,0,,,,,Y,01
203544,"Antic, Pero",Pero Antic,0,2013,2014,pero_antic,0,,,,,Y,00
1628384,"Anunoby, OG",OG Anunoby,1,2017,2020,og_anunoby,1610612761,Toronto,Raptors,TOR,raptors,Y,00
203951,"Appling, Keith",Keith Appling,0,2015,2015,keith_appling,0,,,,,Y,01
2737,"Araujo, Rafael",Rafael Araujo,0,2004,2006,rafael_araujo,0,,,,,Y,00
76053,"Arceneaux, Stacey",Stacey Arceneaux,0,1961,1961,HISTADD_stacey_arceneaux,0,,,,,Y,00
76054,"Archibald, Nate",Nate Archibald,0,1970,1983,HISTADD_nate_archibald,0,,,,,Y,00
2425,"Archibald, Robert",Robert Archibald,0,2002,2003,robert_archibald,0,,,,,Y,00
1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,1,2017,2020,ryan_arcidiacono,1610612741,Chicago,Bulls,CHI,bulls,Y,01
76055,"Ard, Jim",Jim Ard,0,1974,1977,HISTADD_jim_ard,0,,,,,Y,00
2240,"Arenas, Gilbert",Gilbert Arenas,0,2001,2011,gilbert_arenas,0,,,,,Y,00
2772,"Ariza, Trevor",Trevor Ariza,1,2004,2020,trevor_ariza,1610612760,Oklahoma City,Thunder,OKC,thunder,Y,00
76056,"Arizin, Paul",Paul Arizin,0,1950,1961,HISTADD_paul_arizin,0,,,,,Y,00
76057,"Arlauckas, Joe",Joe Arlauckas,0,1987,1987,HISTADD_joe_arlauckas,0,,,,,Y,00
